scenario,coupon_target_annual,bond_term_ticks,runs,median_bond_annualized_fee_yield,p05_bond_annualized_fee_yield,p95_bond_annualized_fee_yield,median_coupon_coverage_ratio,median_cumulative_fee_return_usd,median_coupon_shortfall_usd,median_realized_largest_component_share,median_expected_verified_report_exposure
mutual_aid_only,0.0,52,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,808.467805562612
mutual_aid_only,0.06,52,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,749.386672928483
mutual_aid_only,0.12,52,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,822.9703031325423
regenbond_lp_injection,0.0,52,2,0.1858296503162779,0.13652791165136166,0.23513138898119412,1.0,74331.86012651116,0.0,0.992,966.475623754797
regenbond_lp_injection,0.06,52,2,0.19986287537418446,0.1759524774970512,0.22377327325131768,3.331047922903074,79945.15014967378,0.0,0.992,960.8773169119881
regenbond_lp_injection,0.12,52,2,0.1842105041827009,0.18363143199330847,0.18478957637209334,1.5350875348558408,73684.20167308036,0.0,0.992,939.4769895470001
sarafu_like_pools,0.0,52,2,0.0,0.0,0.0,1.0,0.0,0.0,0.9879032258064516,1015.1161879816334
sarafu_like_pools,0.06,52,2,0.0,0.0,0.0,1.0,0.0,0.0,0.9879032258064516,971.4094638576089
sarafu_like_pools,0.12,52,2,0.0,0.0,0.0,1.0,0.0,0.0,0.9798387096774194,881.6718916439684
stress_cash_stable_leakage,0.0,52,2,0.19537385292332787,0.17883461751995464,0.21191308832670108,1.0,78149.54116933115,0.0,0.992,933.6726331851423
stress_cash_stable_leakage,0.06,52,2,0.21874906334180433,0.21362885842111762,0.22386926826249107,3.6458177223634056,87499.62533672174,0.0,0.992,956.0410826833506
stress_cash_stable_leakage,0.12,52,2,0.22838211927141294,0.1263571583622338,0.33040708018059206,1.9031843272617746,91352.84770856518,995.7896810905513,0.992,972.1842129521318
stress_governance_diversion,0.0,52,2,0.12919984505405074,0.1260967816100328,0.1323029084980687,1.0,51679.9380216203,0.0,0.992,975.8829473447446
stress_governance_diversion,0.06,52,2,0.12777169953943301,0.10523306319281502,0.15031033588605103,2.129528325657217,51108.67981577321,0.0,0.992,959.8006969209807
stress_governance_diversion,0.12,52,2,0.11423311123311983,0.07302728785215207,0.1554389346140876,0.951942593609332,45693.244493247934,10310.22739359109,0.992,1007.069259476879
stress_high_coupon,0.12,52,6,0.14418138874850506,0.1310939904819911,0.20418715648096417,1.201511572904209,57672.55549940202,0.0,0.992,955.0037472167074
stress_liquidity_concentration,0.0,52,2,0.1425390395506694,0.09150259486017592,0.1935754842411629,1.0,57015.61582026776,0.0,0.9918032786885246,738.3042668676597
stress_liquidity_concentration,0.06,52,2,0.10863333378929309,0.06515184575702923,0.15211482182155692,1.8105555631548849,43453.33351571723,0.0,0.9918032786885246,729.0157441801103
stress_liquidity_concentration,0.12,52,2,0.11639793868487254,0.06154577057306017,0.1712501067966849,0.9699828223739377,46559.17547394901,12909.782954539352,0.9918032786885246,751.4101535935374
stress_low_fee_conversion,0.0,52,2,0.1581249758984608,0.13311585815368904,0.18313409364323258,1.0,63249.99035938432,0.0,0.992,1006.790709499344
stress_low_fee_conversion,0.06,52,2,0.13889694408513997,0.13646237943151204,0.1413315087387679,2.3149490680856664,55558.777634055994,0.0,0.992,942.2167204186104
stress_low_fee_conversion,0.12,52,2,0.1358569390808832,0.1176612574194316,0.15405262074233475,1.1321411590073598,54342.77563235327,872.0969974792679,0.992,979.1863450397391
stress_weak_pool_repayment,0.0,52,2,0.21664250768153903,0.18997726007707857,0.24330775528599946,1.0,86657.00307261561,0.0,0.992,903.9503836398408
stress_weak_pool_repayment,0.06,52,2,0.2612311497819478,0.23867861877587662,0.28378368078801897,4.353852496365796,104492.45991277913,0.0,0.992,959.9847162245862
stress_weak_pool_repayment,0.12,52,2,0.2634192554047565,0.2160170970561664,0.31082141375334665,2.1951604617063043,105367.70216190262,0.0,0.992,934.713543637595
