metric,min,min_coupon,min_principal_ratio,max,max_coupon,max_principal_ratio,median
scheduled_payment_coverage_p05,0.5798476317719804,0.45,2.0,1.0,0.0,0.05,1.0
scheduled_payment_coverage_p50,0.5933112421291,0.45,2.0,1.0,0.0,0.05,1.0
issuer_operating_risk_headroom_p50,0.5933112421291,0.45,2.0,26.906825329697718,0.0,0.05,2.0714529203977214
voucher_to_voucher_volume_ratio_vs_baseline,0.988905364211834,0.45,2.0,1.0055608249207864,0.12,0.1,0.9991457387921984
voucher_to_voucher_share_p50,0.2936816690735692,0.35,2.0,0.3326563805603636,0.15,0.05,0.3199435869529783
active_routable_producer_voucher_float_ratio_vs_baseline,0.9980927080719342,0.08,0.05,1.0043618766913511,0.45,2.0,1.0012843876898114
route_success_p05,0.9213743104178861,0.35,1.5,0.9263325933679134,0.0,0.75,0.9242125674171128
producer_borrowing_capacity_used_share_p95,0.03034062920514758,0.35,0.5,0.031015192050541613,0.04,1.0,0.030513645659421877
stable_receipts_waiting_for_repayment_usd_p50,2769.852171102724,0.15,0.1,2939.363150652202,0.45,1.5,2838.8303889846575
producer_debt_arrears_usd_p50,25.510668432710773,0.45,2.0,53.07985139103609,0.08,0.1,44.28549567641993
