activity,verified_report_exposure,approved_report_exposure,all_linked_report_exposure,pools_with_verified_exposure,verified_exposure_share,log_intercept,log_slope,pearson,spearman,predicted_verified_at_10_swaps,predicted_verified_at_100_swaps,predicted_verified_at_1000_swaps
Regenerative Agriculture,742,2070,2367,67,0.210139,-0.261077,0.333014,0.551,0.547,0.711645,2.581643,6.687792
Unclassified local activity,586,1440,1635,68,0.165959,-0.143504,0.257380,0.456,0.566,0.605872,1.841513,4.127779
Construction,455,1145,1245,74,0.128859,-0.199265,0.280112,0.550,0.580,0.603862,1.984661,4.674377
Cleaning,432,1170,1347,67,0.122345,-0.204982,0.256542,0.531,0.530,0.507089,1.661772,3.794197
Permaculture,303,325,340,43,0.085811,-0.025619,0.145814,0.313,0.316,0.382687,0.910438,1.669196
Training,277,660,771,70,0.078448,-0.184381,0.239725,0.564,0.591,0.477650,1.514256,3.357147
Housekeeping,232,635,708,42,0.065704,-0.147125,0.169631,0.432,0.412,0.296453,0.888423,1.786575
Education,229,594,688,60,0.064854,-0.074673,0.169331,0.425,0.470,0.392868,1.027515,1.989765
Volunteer,185,441,460,30,0.052393,-0.066485,0.108121,0.295,0.311,0.212613,0.541113,0.974854
Soil,160,290,298,34,0.045313,-0.005478,0.097528,0.269,0.260,0.256567,0.559905,0.950954
building,136,293,338,39,0.038516,-0.125352,0.138738,0.422,0.457,0.230386,0.673541,1.300570
Common Spaces,135,301,314,19,0.038233,0.031888,0.045392,0.143,0.197,0.151118,0.273003,0.412684
production,135,135,147,32,0.038233,-0.082179,0.121069,0.353,0.356,0.231374,0.610536,1.126025
Collaboration,116,111,136,28,0.032852,-0.039498,0.092083,0.288,0.283,0.198783,0.470314,0.816081
Processing,114,399,457,41,0.032285,-0.140638,0.139224,0.464,0.488,0.213133,0.651852,1.273285
Care,113,307,369,27,0.032002,-0.090491,0.103910,0.335,0.304,0.171957,0.475603,0.872732
Other,109,353,431,18,0.030869,-0.083694,0.090079,0.290,0.297,0.141459,0.393800,0.713680
Lending,107,196,214,26,0.030303,-0.139459,0.118655,0.401,0.392,0.156112,0.504030,0.974469
Art,100,180,191,28,0.028321,0.009856,0.059038,0.205,0.267,0.163489,0.326208,0.518519
Catchment,99,273,293,36,0.028037,-0.022152,0.083351,0.295,0.299,0.194487,0.436954,0.739684
Tree Planting,94,370,427,31,0.026621,-0.066655,0.093691,0.332,0.344,0.171175,0.441583,0.787174
Biodiversity,89,84,89,26,0.025205,0.007160,0.062095,0.222,0.239,0.168894,0.341431,0.546758
Celebration,67,67,73,25,0.018975,-0.067460,0.079795,0.326,0.316,0.131880,0.350943,0.622264
Handcrafts,65,160,165,26,0.018408,0.007954,0.054057,0.223,0.216,0.147489,0.293604,0.464360
Rehabilitation,65,67,71,28,0.018408,-0.073236,0.079712,0.342,0.368,0.125138,0.342651,0.612002
Storytelling,59,59,59,7,0.016709,0.045903,0.011890,0.050,0.054,0.077253,0.106031,0.136610
Outreach,57,155,172,17,0.016143,0.001683,0.041306,0.178,0.165,0.105980,0.212055,0.332502
Plant Nursery,49,210,235,19,0.013877,-0.042929,0.058095,0.274,0.275,0.101173,0.252554,0.431084
Festivals,47,131,148,23,0.013311,0.006903,0.041614,0.203,0.219,0.112587,0.220127,0.342323
Fellowship,42,163,220,16,0.011895,-0.095725,0.068796,0.355,0.329,0.071693,0.248291,0.461652
Energy,40,49,53,10,0.011328,-0.033057,0.039799,0.202,0.226,0.064364,0.162557,0.273676
Dhome,36,36,36,10,0.010195,0.008567,0.023609,0.125,0.147,0.067351,0.124712,0.187296
Software,31,142,143,16,0.008779,0.013838,0.024428,0.146,0.159,0.075100,0.134935,0.200339
Youth,31,162,163,16,0.008779,0.003978,0.029502,0.175,0.164,0.077585,0.150430,0.230971
Sociocracy,28,41,55,15,0.007930,-0.027651,0.038263,0.240,0.244,0.066198,0.160600,0.267058
Market,26,142,151,12,0.007363,-0.070907,0.049849,0.323,0.278,0.049826,0.172514,0.314537
Mobility,14,14,19,8,0.003965,-0.011001,0.018448,0.161,0.168,0.033795,0.076958,0.123507
Elders,4,10,13,4,0.001133,0.002910,0.004083,0.073,0.079,0.012782,0.021993,0.031609
Endowments,3,37,37,3,0.000850,-0.017697,0.010615,0.219,0.182,0.007786,0.031786,0.057214
Retreat,1,5,11,1,0.000283,-0.006127,0.003625,0.129,0.119,0.002568,0.010659,0.019096
