metric,value
weeks,109
active_swap_weeks,108
zero_swap_weeks,1
pool_swap_events,8416
swap_input_value_usd,302813.624302
swap_output_value_usd,228883.629033
mean_swaps_per_pool_era_week,77.211009
mean_swaps_per_active_week,77.925926
mean_swap_input_value_per_pool_era_week,2778.106645
mean_swap_input_value_per_active_week,2803.829855
mean_swap_input_value_per_swap,35.980706
weekly_swap_count_p50_all_weeks,23.0
weekly_swap_count_p75_all_weeks,56.0
weekly_swap_count_p90_all_weeks,322.2
weekly_swap_count_max,600
active_weekly_swap_count_p50,23.0
active_weekly_swap_count_p90,322.3
weekly_swap_input_value_p50_all_weeks,786.510078
weekly_swap_input_value_p75_all_weeks,2899.877679
weekly_swap_input_value_p90_all_weeks,7583.576422
weekly_swap_input_value_max,21331.961556
active_weekly_swap_input_value_p50,804.868162
active_weekly_swap_input_value_p90,7797.916981
