metric,value,denominator,claim_boundary
post_borrow_window_days,91,,Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
borrow_proxy_events,2679,,Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
borrow_events_with_source_pre_activity,1187,2679,Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
borrow_events_with_source_post_activity,958,2679,Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
source_voucher_to_voucher_pre_count,6081,2679,Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
source_voucher_to_voucher_post_count,4528,2679,Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
source_voucher_to_voucher_count_ratio,0.744614,6081,Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
source_voucher_to_voucher_pre_value_usd,31492.647722,2679,Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
source_voucher_to_voucher_post_value_usd,23639.323543,2679,Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
source_voucher_to_voucher_value_ratio,0.75063,31492.647722,Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
target_voucher_demand_pre_count,10596,2679,Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
target_voucher_demand_post_count,11606,2679,Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
target_voucher_demand_count_ratio,1.095319,10596,Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
target_voucher_demand_pre_value_usd,755067.038664,2679,Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
target_voucher_demand_post_value_usd,838497.817454,2679,Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
target_voucher_demand_value_ratio,1.110495,755067.038664,Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
calibrated_voucher_source_weight_boost,0.0,"source_voucher_to_voucher_count_ratio - 1, floored at zero",Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
calibrated_voucher_source_size_multiplier,1.0,"source_voucher_to_voucher_value_ratio, floored at 1",Post-borrow activity is an event-window proxy around voucher-to-stable borrow motifs. It estimates same-voucher source and target activity before/after borrowing; it is not causal proof of productive growth.
